school_code,school,is_district_office,school_and_district
2922,Oakville Elementary,f,Oakville Elementary - Oakville
2926,Cedarhurst Elementary,f,Cedarhurst Elementary - Highline
2927,Sylvester Middle School,f,Sylvester Middle School - Highline
2929,Lakeridge Elementary School,f,Lakeridge Elementary School - Renton
2932,Dick Scobee Elementary School,f,Dick Scobee Elementary School - Auburn
2939,Delong,f,Delong - Tacoma
2940,Arlington,f,Arlington - Tacoma
2941,Mann,f,Mann - Tacoma
2942,Orting High School,f,Orting High School - Orting
2943,Custer Elementary School,f,Custer Elementary School - Clover Park
2944,Harbor Heights Elementary School,f,Harbor Heights Elementary School - Peninsula
2945,James Sales Elementary,f,James Sales Elementary - Franklin Pierce
2946,West View Elementary,f,West View Elementary - Burlington Edison
2948,Index Elementary School,f,Index Elementary School - Index
2950,Ridgeview Elementary,f,Ridgeview Elementary - Spokane
2951,Lincoln Heights Elementary,f,Lincoln Heights Elementary - Spokane
2952,Lidgerwood Elementary,f,Lidgerwood Elementary - Spokane
2953,Progress Elementary School,f,Progress Elementary School - Central Valley
2954,Betz Elementary,f,Betz Elementary - Cheney
2955,Otis Orchards School,f,Otis Orchards School - East Valley (Spok
2956,Seth Woodard Elementary,f,Seth Woodard Elementary - West Valley (Spok
2957,Hofstetter Elementary,f,Hofstetter Elementary - Colville
2958,Northport High School,f,Northport High School - Northport
2959,Sunnyside High School,f,Sunnyside High School - Sunnyside
2960,Camas Elementary,f,Camas Elementary - Wapato
2961,Hiawatha Elementary School,f,Hiawatha Elementary School - Othello
2962,Grantham Elementary,f,Grantham Elementary - Clarkston
2964,Salmon Creek Elementary,f,Salmon Creek Elementary - Vancouver
2966,Grant Elementary School,f,Grant Elementary School - Eastmont
2967,Emerson Elementary,f,Emerson Elementary - Pasco
2968,Almira Coulee Hartline High School,f,Almira Coulee Hartline High School - Coulee/Hartline
2969,Lakeview Terrace Elementary,f,Lakeview Terrace Elementary - Moses Lake
2970,Midway Elementary,f,Midway Elementary - Moses Lake
2971,Stevens Elementary School,f,Stevens Elementary School - Aberdeen
2972,Central Elementary School,f,Central Elementary School - Hoquiam
2973,Lake Quinault High School,f,Lake Quinault High School - Quinault
2974,Oak Harbor High School,f,Oak Harbor High School - Oak Harbor
2975,John Rogers Elementary School,f,John Rogers Elementary School - Seattle
2976,Olympic Hills Elementary School,f,Olympic Hills Elementary School - Seattle
2977,Viewlands Elementary School,f,Viewlands Elementary School - Seattle
2980,Byron Kibler Elementary School,f,Byron Kibler Elementary School - Enumclaw
2981,Lakeridge Elementary School,f,Lakeridge Elementary School - Mercer Island
2982,Bow Lake Elementary,f,Bow Lake Elementary - Highline
2983,North Hill Elementary,f,North Hill Elementary - Highline
2984,Midway Elementary,f,Midway Elementary - Highline
2986,Canyon View Group Home,f,Canyon View Group Home - Eastmont
2990,Briarcrest Elementary,f,Briarcrest Elementary - Shoreline
2992,Rose Hill Elementary,f,Rose Hill Elementary - Lake Washington
2993,Kenmore Elementary,f,Kenmore Elementary - Northshore
2994,Brownsville Elementary,f,Brownsville Elementary - Central Kitsap
2995,Olalla Elementary School,f,Olalla Elementary School - South Kitsap
2996,Ellensburg High School,f,Ellensburg High School - Ellensburg
2997,Hulan L Whitson Elem,f,Hulan L Whitson Elem - White Salmon
2998,Toledo Elementary School,f,Toledo Elementary School - Toledo
2999,N Omak Elementary,f,N Omak Elementary - Omak
3000,Harvard Elementary,f,Harvard Elementary - Franklin Pierce
3001,Madison Elementary,f,Madison Elementary - Mt Vernon
3002,View Ridge Elementary,f,View Ridge Elementary - Everett
3003,Mount Baker Junior High,f,Mount Baker Junior High - Mount Baker
3005,Emerson Elementary,f,Emerson Elementary - Snohomish
3006,Eagle Rock Multiage School,f,Eagle Rock Multiage School - Riverview
3007,Hamblen Elementary,f,Hamblen Elementary - Spokane
3008,Bryant Center,f,Bryant Center - Spokane
3010,North Thurston High School,f,North Thurston High School - North Thurston
3011,Friday Harbor Middle School,f,Friday Harbor Middle School - San Juan
3012,Columbia Middle School,f,Columbia Middle School - Columbia (Walla)
3013,Smith Elementary School,f,Smith Elementary School - Grandview
3014,Kent Mountain View Academy,f,Kent Mountain View Academy - Kent
3015,Othello High School,f,Othello High School - Othello
3016,Sarah J Anderson Elementary,f,Sarah J Anderson Elementary - Vancouver
3017,Lake Shore Elementary,f,Lake Shore Elementary - Vancouver
3018,Glenwood Heights Primary,f,Glenwood Heights Primary - Battle Ground
3019,Robert Gray Elementary,f,Robert Gray Elementary - Longview
3020,Mountain View Elementary,f,Mountain View Elementary - Quincy
3021,Larson Heights Elementary,f,Larson Heights Elementary - Moses Lake
3022,Chief Moses Middle School,f,Chief Moses Middle School - Moses Lake
3023,K-8 Learning Lab,f,K-8 Learning Lab - Yakima
3024,Ocosta Junior - Senior High,f,Ocosta Junior - Senior High - Ocosta
3025,Ocosta Elementary School,f,Ocosta Elementary School - Ocosta
3026,Wedgwood Elementary School,f,Wedgwood Elementary School - Seattle
3027,Northgate Elementary School,f,Northgate Elementary School - Seattle
3028,Sacajawea Elementary School,f,Sacajawea Elementary School - Seattle
3029,Mercer Island High School,f,Mercer Island High School - Mercer Island
3032,Southern Heights Elementary,f,Southern Heights Elementary - Highline
3034,Campbell Hill Elementary School,f,Campbell Hill Elementary School - Renton
3035,McKnight Middle School,f,McKnight Middle School - Renton
3036,Eastgate Elementary School,f,Eastgate Elementary School - Bellevue
3038,Issaquah Middle School,f,Issaquah Middle School - Issaquah
3041,Lakeview Elementary,f,Lakeview Elementary - Lake Washington
3043,Capt. Charles Wilkes Elem School,f,Capt. Charles Wilkes Elem School - Bainbridge
3046,Marcus Whitman Middle School,f,Marcus Whitman Middle School - South Kitsap
3047,Glenwood Elementary,f,Glenwood Elementary - Glenwood
3048,Glenwood Secondary,f,Glenwood Secondary - Glenwood
3049,Dallesport Elementary,f,Dallesport Elementary - Lyle
3050,Sprague Elementary,f,Sprague Elementary - Sprague
3051,E Omak Elementary,f,E Omak Elementary - Omak
3052,Kalles Junior High,f,Kalles Junior High - Puyallup
3053,Grant,f,Grant - Tacoma
3054,Baker,f,Baker - Tacoma
3055,Evergreen Elementary,f,Evergreen Elementary - Peninsula
3056,Vaughn Elementary School,f,Vaughn Elementary School - Peninsula
3057,Mount Erie Elementary,f,Mount Erie Elementary - Anacortes
3059,Cascade Elementary,f,Cascade Elementary - Marysville
3060,Frank Wagner Elementary,f,Frank Wagner Elementary - Monroe
3062,Trout Lake Elementary,f,Trout Lake Elementary - Trout Lake
3063,Westview Elementary,f,Westview Elementary - Spokane
3064,University Elementary School,f,University Elementary School - Central Valley
3065,Central Valley High School,f,Central Valley High School - Central Valley
3066,Madison Elementary School,f,Madison Elementary School - Olympia
3067,Rochester Middle School,f,Rochester Middle School - Rochester
3068,St John/Endicott High,f,St John/Endicott High - St John
3069,St John Elementary,f,St John Elementary - St John
3070,Artz Fox Elementary,f,Artz Fox Elementary - Mabton
3071,Grandview Middle School,f,Grandview Middle School - Grandview
3072,Marcus Whitman-Cowiche Elementary,f,Marcus Whitman-Cowiche Elementary - Highland
3073,Tieton Intermediate School,f,Tieton Intermediate School - Highland
3074,West Valley High School,f,West Valley High School - West Valley (Yak)
3075,Washtucna Elementary/High School,f,Washtucna Elementary/High School - Washtucna
3077,Hawthorne Elementary School - Kennewick,f,Hawthorne Elementary School - Kennewick - Kennewick
3078,Finley Elementary,f,Finley Elementary - Finley
3079,Hamilton Elementary,f,Hamilton Elementary - Port Angeles
3080,Benjamin Franklin Elementary,f,Benjamin Franklin Elementary - Vancouver
3081,Hudson's Bay High School,f,Hudson's Bay High School - Vancouver
3082,Butler Acres Elementary,f,Butler Acres Elementary - Kelso
3083,Lee Elementary,f,Lee Elementary - Eastmont
3085,Mark Twain Elementary,f,Mark Twain Elementary - Pasco
3086,Mesa Elem,f,Mesa Elem - North Franklin
3087,Pomeroy Elementary School,f,Pomeroy Elementary School - Pomeroy
3088,Quincy High School,f,Quincy High School - Quincy
3089,Soap Lake Middle & High School,f,Soap Lake Middle & High School - Soap Lake
3090,Red Rock Elementary,f,Red Rock Elementary - Royal
3091,Garden Heights Elementary,f,Garden Heights Elementary - Moses Lake
3092,Grant Elementary,f,Grant Elementary - Ephrata
3094,Salish Coast Elementary,f,Salish Coast Elementary - Port Townsend
3095,Mercer International Middle School,f,Mercer International Middle School - Seattle
3096,Chief Sealth International High School,f,Chief Sealth International High School - Seattle
3097,Marvista Elementary,f,Marvista Elementary - Highline
3098,Chinook Middle School,f,Chinook Middle School - Highline
3099,Evergreen High School,f,Evergreen High School - Highline
3100,Stevenson Elementary,f,Stevenson Elementary - Bellevue
3101,Cherry Valley Elementary School,f,Cherry Valley Elementary School - Riverview
3104,Echo Lake Elementary School,f,Echo Lake Elementary School - Shoreline
3105,Crystal Springs Elementary,f,Crystal Springs Elementary - Northshore
3106,Bothell High School,f,Bothell High School - Northshore
3107,Arrowhead Elementary,f,Arrowhead Elementary - Northshore
3108,Crownhill Elementary School,f,Crownhill Elementary School - Bremerton
3109,Bremerton High School,f,Bremerton High School - Bremerton
3110,South Colby Elementary,f,South Colby Elementary - South Kitsap
3111,Lyle High School,f,Lyle High School - Lyle
3112,Morton Junior-Senior High,f,Morton Junior-Senior High - Morton
3113,Harrington High School,f,Harrington High School - Harrington
3114,Riverside Elementary,f,Riverside Elementary - Puyallup
3115,Hilltop Elementary,f,Hilltop Elementary - Puyallup
3116,Wainwright,f,Wainwright - Tacoma
3117,Idlewild Elementary School,f,Idlewild Elementary School - Clover Park
3119,Stevenson High School - Stevenson,f,Stevenson High School - Stevenson-Carson
3120,Olympic View Middle School,f,Olympic View Middle School - Mukilteo
3121,Olivia Park Elementary,f,Olivia Park Elementary - Mukilteo
3122,Lynndale Elementary,f,Lynndale Elementary - Edmonds
3123,Edmonds Woodway High School,f,Edmonds Woodway High School - Edmonds
3124,Post Middle School,f,Post Middle School - Arlington
3125,Stanwood Elementary School,f,Stanwood Elementary School - Stanwood
3126,Middle School Options,f,Middle School Options - North Kitsap
3127,McDonald Elementary School,f,McDonald Elementary School - Central Valley
3128,Trentwood School,f,Trentwood School - East Valley (Spok
3129,Orchard Center Elementary,f,Orchard Center Elementary - West Valley (Spok
3130,Mountain View Elementary,f,Mountain View Elementary - North Thurston
3132,Olympia High School,f,Olympia High School - Olympia
3133,Jefferson Middle School,f,Jefferson Middle School - Olympia
3134,Happy Valley Elementary School,f,Happy Valley Elementary School - Bellingham
3136,Blaine High School,f,Blaine High School - Blaine
3137,Lamont Middle School,f,Lamont Middle School - Lamont
3138,Barge-Lincoln Elementary School,f,Barge-Lincoln Elementary School - Yakima
3141,Wapato High School,f,Wapato High School - Wapato
3142,Benge Elementary,f,Benge Elementary - Benge
3143,Clallam Co Juvenile Detention,f,Clallam Co Juvenile Detention - ESD 114
3144,Washington Elementary School,f,Washington Elementary School - Kennewick
3145,Neah Bay Junior/ Senior High School,f,Neah Bay Junior/ Senior High School - Cape Flattery
3146,Mcloughlin Middle School,f,Mcloughlin Middle School - Vancouver
3147,Washougal High School,f,Washougal High School - Washougal
3148,Ellsworth Elementary School,f,Ellsworth Elementary School - Evergreen (Clark)
3149,Sifton Elementary School,f,Sifton Elementary School - Evergreen (Clark)
3151,Mark Morris High School,f,Mark Morris High School - Longview
3152,Mattawa Elementary,f,Mattawa Elementary - Wahluke
3153,Longview Elementary,f,Longview Elementary - Moses Lake
3154,Hopkins Elementary,f,Hopkins Elementary - Aberdeen
3155,Pacific Beach Elementary School,f,Pacific Beach Elementary School - North Beach
3157,Roxhill Elementary School,f,Roxhill Elementary School - Seattle
3159,Mirror Lake Elementary School,f,Mirror Lake Elementary School - Federal Way
3160,Star Lake Elementary School,f,Star Lake Elementary School - Federal Way
3162,Island Park Elementary,f,Island Park Elementary - Mercer Island
3163,Cascade Middle School,f,Cascade Middle School - Highline
3165,Hilltop Elementary,f,Hilltop Elementary - Highline
3166,Highland Middle School,f,Highland Middle School - Bellevue
3167,Woodridge Elementary,f,Woodridge Elementary - Bellevue
3168,Phantom Lake Elementary,f,Phantom Lake Elementary - Bellevue
3169,Olympic Middle School,f,Olympic Middle School - Auburn
3171,Naval Avenue Elementary School,f,Naval Avenue Elementary School - Bremerton
3172,Jefferson Lincoln Elementary,f,Jefferson Lincoln Elementary - Centralia
3173,Davenport Senior High School,f,Davenport Senior High School - Davenport
3174,Hawkins Middle School,f,Hawkins Middle School - North Mason
3175,North Mason Senior High School,f,North Mason Senior High School - North Mason
3176,Tonasket Elementary School,f,Tonasket Elementary School - Tonasket
3179,Curtis Junior High,f,Curtis Junior High - University Place
3180,Brookdale Elementary,f,Brookdale Elementary - Franklin Pierce
3181,Cascade Middle School,f,Cascade Middle School - Sedro Woolley
3182,Fidalgo Elementary,f,Fidalgo Elementary - Anacortes
3183,Jefferson Elementary,f,Jefferson Elementary - Mt Vernon
3184,Emerson Elementary School,f,Emerson Elementary School - Everett
3185,Early Childhood Center,f,Early Childhood Center - Edmonds
3186,Westgate Elementary,f,Westgate Elementary - Edmonds
3187,Shoultes Elementary,f,Shoultes Elementary - Marysville
3188,Darrington High School,f,Darrington High School - Darrington
3189,Shadle Park High School,f,Shadle Park High School - Spokane
3190,Linwood Elementary,f,Linwood Elementary - Spokane
3191,Mountainside Middle School,f,Mountainside Middle School - Mead
3192,Freeman High School,f,Freeman High School - Freeman
3193,Okanogan Co Juvenile Detention,f,Okanogan Co Juvenile Detention - Okanogan
3194,Pasadena Park Elementary,f,Pasadena Park Elementary - West Valley (Spok
3195,West Valley High School,f,West Valley High School - West Valley (Spok
3196,Ness Elementary,f,Ness Elementary - West Valley (Spok
3197,Evergreen School,f,Evergreen School - Evergreen (Stev)
3198,Kettle Falls Middle School,f,Kettle Falls Middle School - Kettle Falls
3199,Peter G Schmidt Elementary,f,Peter G Schmidt Elementary - Tumwater
3200,Alderwood Elementary School,f,Alderwood Elementary School - Bellingham
3201,Shuksan Middle School,f,Shuksan Middle School - Bellingham
3202,Parkview Elementary School,f,Parkview Elementary School - Bellingham
3203,Jefferson Elementary,f,Jefferson Elementary - Pullman
3204,Rosalia Elementary & Secondary School,f,Rosalia Elementary & Secondary School - Rosalia
3205,Oakesdale Elementary School,f,Oakesdale Elementary School - Oakesdale
3206,Eisenhower High School,f,Eisenhower High School - Yakima
